Car Make,Country,Year,Mileage,Needs Repair
Lotus,Nigeria,2005,491887,false
Pontiac,Central African Republic,1971,490908,true
Hummer,Ireland,1997,,false
Suzuki,Sweden,2002,136542,false
Mitsubishi,China,1999,,true
Subaru,Russia,2004,278246,true
Pontiac,Netherlands,1983,422623,false
Subaru,Iceland,1988,407803,false
Mitsubishi,Philippines,1992,482174,true
Audi,Brazil,1984,352070,false
Mercedes-Benz,Venezuela,1997,207554,false
Toyota,Indonesia,1993,305788,false
Mercedes-Benz,Ireland,2002,95629,true
Dodge,Macedonia,1995,397625,true
Dodge,Cuba,1981,133606,true
Jaguar,Honduras,2003,157167,false
Ferrari,Japan,2009,96407,false
Kia,Indonesia,2008,136859,true
Pontiac,China,1995,,false
Audi,Japan,2012,124472,false
Ferrari,Philippines,2008,302937,false
Ford,United States,1987,38833,false
Chevrolet,United States,1999,36492,false
Chevrolet,South Korea,1999,44066,false
BMW,Indonesia,2002,,false
Mercedes-Benz,Ukraine,1999,167526,false
Infiniti,Vietnam,2001,180710,true
Mazda,Indonesia,2005,,true
Ford,Macedonia,2008,337716,false
Rolls-Royce,Portugal,2011,200050,false
Honda,Russia,2004,89553,true
BMW,Finland,2009,151708,false
Lexus,Nicaragua,1991,339524,true
GMC,Portugal,1994,112586,true
Toyota,Russia,1996,499560,true
Mazda,Brazil,1992,199652,true
Lexus,China,2007,173527,true
Volvo,Tanzania,1997,384159,true
Dodge,Malaysia,2008,117202,false
Scion,Kyrgyzstan,2010,,false
Toyota,Sweden,2005,102969,true
Jeep,Venezuela,,,true
Mercury,Syria,2005,,false
Volkswagen,Russia,2011,450595,true
Hyundai,Mongolia,2007,266919,false
Honda,Indonesia,1990,80434,false
GMC,Nigeria,1994,,false
BMW,Indonesia,2004,140552,true
Mercury,China,1988,461404,true
Land Rover,Cuba,,,false
Porsche,Indonesia,1995,138749,false
BMW,Russia,1959,222754,false
Ford,Brazil,1985,192350,false
Land Rover,Philippines,1996,386695,false
Toyota,Mongolia,,,true
Oldsmobile,Brazil,1966,37598,true
Aston Martin,Peru,2006,486270,true
Mitsubishi,United States,2009,,true
Subaru,Russia,1985,23967,true
Buick,France,1988,268964,true
Chevrolet,United States,,,true
Mitsubishi,Democratic Republic of the Congo,2012,77009,true
Alfa Romeo,Serbia,1992,461152,false
Dodge,Indonesia,2000,157921,false
Toyota,Sweden,1993,441009,true
Mazda,Brazil,2005,339205,false
Mitsubishi,Tanzania,2000,426410,false
Mercedes-Benz,Russia,2005,199755,true
Buick,Brazil,2007,,true
Ford,Brazil,1998,89359,false
Cadillac,Russia,1992,45174,false
Infiniti,Russia,2006,,false
Pontiac,Indonesia,1985,431335,true
Hummer,Russia,2001,476627,true
Pontiac,Poland,,427482,false
Mercedes-Benz,China,1996,,false
Ford,Indonesia,2008,357588,true
Chevrolet,Armenia,,413726,false
Ford,South Africa,2009,350484,false
Chevrolet,Belarus,,,false
Audi,Japan,1988,484071,false
Volvo,Canada,2012,100184,false
Oldsmobile,Philippines,2001,383429,true
Land Rover,Indonesia,1994,109255,true
GMC,Botswana,2011,381471,true
Subaru,Greece,1988,393260,true
Chevrolet,Czech Republic,1995,460050,true
Audi,China,2007,225023,true
Honda,Indonesia,1998,,false
GMC,Indonesia,1992,40946,true
Nissan,Portugal,2011,316505,false
Infiniti,Russia,1997,109548,false
BMW,China,2007,,true
Lexus,Albania,1993,388288,true
Ford,Russia,1990,166196,false
Acura,Indonesia,2001,452356,false
Buick,Qatar,1993,71209,false
Ford,China,1986,496829,false
Nissan,Spain,2009,426075,true
Chrysler,South Korea,2010,456368,false
Nissan,Egypt,2003,399686,true
Pontiac,Cameroon,1999,308920,false
Lincoln,China,1987,435076,true
